index,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2022,2012-22,2022
,^,^,^,^,^,^,^,^,^,^,^,^,^,^,"0,1","0,1","0,1","0,1","0,2","0,3","1,1","2,6","4,2","62,5%","95,1%","0,2%"
,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,♦
,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,♦
,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,^,-,^,^,♦,-,♦
,-,-,-,-,-,-,^,^,^,^,^,^,^,^,^,^,^,^,^,^,"0,1","0,1","0,1","38,0%","38,5%",♦
,^,^,^,^,^,^,^,^,^,^,^,^,^,^,"0,1","0,3","0,5","0,6","0,8","1,4","2,5","4,7","7,1","51,7%","81,7%","0,3%"
,,,,,,,,,,,,,,,,,,,,,,,,,,
,^,^,^,^,^,"0,1","0,1","0,1","0,2","0,2","0,2","0,2","0,3","0,2","0,2","0,1","0,2","0,3","0,8","0,7","1,1","1,1","1,2","10,3%","16,0%","0,1%"
,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,♦
,-,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,"0,1",^,^,♦,"19,1%",♦
,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,^,^,^,^,^,^,♦,-,♦
,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,^,"0,1","0,1","0,1",♦,-,♦
,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,♦
,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,^,^,^,^,^,^,♦,-,♦
,-,-,-,-,-,-,-,-,-,-,-,-,-,^,^,^,-,-,-,-,-,^,^,♦,-,♦
,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,"0,1","0,4","0,5","0,7","0,9","1,4","1,6","1,6","--1,2%","73,7%","0,1%"
,^,^,^,^,"0,1","0,1","0,1","0,2","0,2","0,2","0,2","0,2","0,3","0,2","0,3","0,3","0,6","0,8","1,5","1,7","2,7","2,9","3,0","3,3%","26,0%","0,1%"
,,,,,,,,,,,,,,,,,,,,,,,,,,
,-,-,-,-,-,-,-,-,-,-,-,-,-,-,^,^,^,^,^,^,^,^,^,♦,-,♦
